This file contains several lists relating to film:

DEBUTS.TXT          Debuts of over 600 Stars - From 1930-Present

DIRECT.TXT          200 Directorial Debuts

LOSER.TXT           Films and Performances that LOST out on Oscar
                    night - including 10 films and 10 performances
                    NOT nominated

OSCAR.DEB           OSCAR WINNING/Nominated Debuts

SILENT.TXT          Stars who got their start in the Silents:
                    1900-1929 Debuts

UNUSUAL.TXT         Early Roles/Unusual Roles for Stars

     I believe that each of these lists is accurate, as far as I
could confirm. I have double checked the source for most of the
actors on each list.

     I am sure that anyone reading this will say "How could you
have missed [Actor/Actress]?". While I believe 650 is a good start,
I'm still working on making the list more complete, and will
probably be releasing a supplementary/updated list sometime in the
near future.

     If you think of someone whose debuts I should absolutely,
positively have on the next list, leave me a message.

JOHN HECKENLIVELY

                           FILM DEBUTS
                        Actors/Actresses

ACTOR                    TITLE                              YEAR
Aames, Willie            Scavenger Hunt                     1979
Abbott/Costello          One Night in the Tropics           1940
Abraham, F Murray        Serpico                            1974
Adams, Maud              The Boys in The Band               1970
Adjani, Isabelle         Le Petit Bougnat                   1970
Agutter, Jenny           East of Sudan                      1964
Aiello, Danny            Bang the Drum Slowly               1973
Aimee, Anouk             La Maison sous la mer              1946
Albert, Eddie            Brother Rat                        1938
Alda, Alan               Gone Are the Days                  1963
Allen, Karen             Animal House                       1978
Allen, Woody             What's New Pussycat?               1965
Ameche, Don              Sins of Man                        1936
Amis, Suzy               Fandango                           1985
Amos, John               Vanishing Point                    1971
Anderson, Judith         Blood Money                        1933
Andy Hardy Picture       A Family Affair                    1937
Ann-Margaret             Pocketful of Miracles              1961
Archer, Anne             All-American Boy                   1973
Arden, Eve               Song of Love                       1929
Arnaz, Desi              Too Many Girls                     1940
Arthur, Jean             Cameo Kirby                        1923
Astaire, Fred            Dancing Lady                       1933
Astaire and Rogers       Flying Down To Rio                 1933
Attenborough, Richard    In Which We Serve                  1942
Ayres, Lew               The Sophomore                      1929
Bacall, Lauren           To Have and Have Not               1944
Bacon, Kevin             Animal House                       1978
Bainter, Fay             This Side of Heaven                1934
Baio, Scott              Bugsy Malone                       1976
Baker, Caroll            Easy to Love                       1953
Baker, Joe Don           Cool Hand Luke                     1967
Baldwin, Alec            Forever, Lulu                      1987
Ball, Lucille            Roman Scandals                     1933
Balsam, Martin           On The Waterfront                  1954
Bancroft, Anne           Don't Bother To Knock              1952
Barrie, Barbara          Giant                              1956
Barrymore, Drew          ET: The Extraterrestrial           1982
Bartholomew, F (US)      David Copperfield                  1935
Basehart, Richard        Repeat Performance                 1947
Basinger,Kim             Hard Country                       1981
Basserman, Albert        Dr Erlich's Magic Bullet [US]      1940
Bates, Alan              The Entertainer                    1960
Bates, Kathy             Taking Off                         1971
Baxter, Anne             Twenty Mule Team                   1940
Beatles                  Hard Day's Night                   1964
Beatty, Ned              Deliverance                        1972
Beatty, Warren           Splendor in the Grass              1961
